Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-5.603,-2.334,-117.903,22.122,-0.791,5.633,266.424,11.918,3.369,11.366,3.659,-7.685,2.551,-8.907,-3.711,21.211,-5.137,-11.144,0.65,-4.209,66.007,5.802,0.521,-5.971,-55.136,0.727,-10.387,-9.966,-98.662,3
-5.598,-8.48,-119.323,9.804,0.747,5.115,278.453,8.832,3.366,5.719,-0.443,-10.239,-1.55,-6.849,-5.244,15.042,-7.181,-14.206,-3.45,-7.791,63.379,1.185,0.52,-14.162,-37.15,-1.322,-14.475,-13.03,-105.736,3
2.605,3.312,-98.199,10.819,6.381,16.893,310.962,8.824,14.121,16.984,8.779,2.067,12.283,4.941,10.13,25.273,7.171,-0.36,12.435,8.611,67.414,16.554,8.717,3.27,-41.211,11.999,-2.165,-1.233,-85.65,3
-2.521,12.018,-92.465,14.394,1.252,19.437,324.484,13.938,18.205,29.775,19.016,8.725,24.567,11.596,15.243,36.518,16.897,10.399,25.743,15.774,71.958,25.759,18.442,14.538,-38.608,20.184,6.034,14.137,-83.003,3
-5.08,10.469,-102.106,7.72,-0.799,15.832,291.884,15.461,16.138,24.109,16.948,4.106,20.956,11.072,12.666,31.871,15.856,8.852,21.106,9.099,65.738,20.097,17.911,5.302,-27.299,19.139,2.442,13.611,-90.604,3
1.585,7.385,-110.201,10.274,7.399,15.304,262.903,12.371,14.072,15.888,9.246,0.003,10.689,9.011,13.166,23.642,11.229,2.183,10.327,3.967,61.574,12.393,7.135,-1.876,-34.956,14.509,-3.708,1.302,-82.317,3
-8.15,-2.869,-116.751,12.313,4.83,7.604,290.817,6.211,4.837,6.651,-2.034,-9.731,2.481,-0.731,3.931,13.372,-0.565,-10.115,-0.954,-5.771,56.901,1.622,-2.606,-9.046,-57.975,0.662,-11.389,-10.483,-84.796,3
-20.438,-11.575,-111.511,-3.581,-4.909,-0.088,258.25,9.791,-2.853,-0.016,-7.667,-16.381,-1.108,-13.026,-4.269,6.187,-8.249,-15.74,-6.076,-13.962,47.623,-6.064,-5.165,-13.648,-75.336,-8.048,-15.989,-16.62,-95.982,3
-6.585,4.318,-97.567,-2.553,2.781,13.744,225.717,32.835,9.445,14.841,4.636,-5.606,8.115,-8.915,8.542,16.427,2.005,-4.453,5.2,-3.19,53.723,4.188,1.5,-1.339,-63.99,5.28,-7.776,-2.771,-87.177,3
5.717,18.146,-100.031,18.454,11.487,27.05,258.279,38.438,20.194,25.073,14.365,0.547,15.792,0.828,16.219,22.558,10.713,5.797,15.441,6.547,62.378,12.381,8.671,6.347,-31.138,15.521,-0.596,13.113,-84.016,3
-5.047,5.32,-103.517,14.85,0.205,8.068,290.808,6.124,-0.318,3.018,1.031,-11.237,0.407,-2.246,-1.216,9.215,5.066,-0.356,5.18,-3.706,51.558,4.684,3.027,-6.467,-29.058,4.747,-6.23,1.317,-92.129,3
-9.653,-5.444,-90.094,-1.559,-6.967,-13.457,323.305,-24.62,-21.835,-11.329,-9.216,-17.373,-13.938,-5.318,-9.924,4.083,1.988,-8.041,-0.973,-10.362,45.871,1.093,-4.661,-10.047,-57.718,-0.381,-11.859,-17.127,-81.79,3
-4.52,-4.414,-99.738,-5.144,0.212,-5.247,290.706,-6.665,-11.567,0.977,-4.084,-13.257,-5.728,-2.239,-1.717,11.251,5.059,-3.934,3.639,-4.204,52.485,3.653,-2.095,-6.963,-48.438,4.231,-12.36,-17.623,-76.585,3
