timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,gyro_X,gyro_Y,gyro_Z,unknown_1,unknown_2
1970-01-12 13:10:43.313212,1682330168.3117,21.0,0.0,4181.795,4164.359,4193.59,4200.0,4185.769,4184.615,4197.308,4183.718,4184.487,4184.615,4233.077,4940.897,4161.538,4130.641,0.0,0.0
1970-01-12 13:10:43.326400,1682330168.3195,22.0,0.0,4189.744,4166.795,4183.846,4198.974,4184.487,4187.436,4187.436,4186.538,4185.641,4184.744,4242.564,4947.179,4171.538,4149.615,0.0,0.0
1970-01-12 13:10:43.326446,1682330168.3274,23.0,0.0,4190.769,4170.513,4184.487,4200.769,4185.769,4194.103,4190.0,4182.949,4185.128,4185.513,4242.179,4939.487,4174.615,4151.282,0.0,0.0
1970-01-12 13:10:43.341292,1682330168.3351,24.0,0.0,4185.769,4174.103,4189.359,4199.231,4185.513,4195.0,4193.59,4185.0,4185.769,4185.897,4229.872,4931.795,4176.41,4148.077,0.0,0.0
1970-01-12 13:10:43.341331,1682330168.343,25.0,0.0,4185.513,4173.59,4186.795,4199.359,4187.308,4190.641,4189.615,4180.256,4180.128,4185.256,4231.538,4934.744,4171.667,4151.154,0.0,0.0
1970-01-12 13:10:43.356842,1682330168.3508,26.0,0.0,4185.769,4173.462,4183.462,4201.282,4189.359,4192.179,4189.231,4170.385,4177.564,4184.359,4238.077,4936.026,4163.333,4153.59,0.0,0.0
1970-01-12 13:10:43.356880,1682330168.3586,27.0,0.0,4186.538,4174.487,4186.154,4201.154,4193.846,4197.821,4197.564,4170.513,4180.513,4184.744,4229.487,4930.513,4162.564,4150.256,0.0,0.0
1970-01-12 13:10:43.371319,1682330168.3664,28.0,0.0,4185.513,4175.641,4186.154,4201.154,4196.154,4201.923,4201.538,4171.41,4178.205,4185.897,4224.359,4925.769,4165.897,4148.205,0.0,0.0
1970-01-12 13:10:43.386339,1682330168.3743,29.0,0.0,4183.077,4179.615,4185.256,4201.026,4190.385,4197.051,4199.231,4167.308,4174.231,4184.744,4229.487,4924.744,4163.077,4148.59,0.0,0.0
1970-01-12 13:10:43.386374,1682330168.3822,30.0,0.0,4184.359,4182.436,4183.974,4200.769,4185.641,4189.872,4195.769,4167.949,4176.282,4183.846,4231.026,4927.821,4160.256,4153.974,0.0,0.0
1970-01-12 13:10:43.401401,1682330168.3902,31.0,0.0,4184.744,4178.462,4180.385,4200.897,4187.436,4190.769,4194.615,4171.923,4175.641,4184.359,4231.923,4930.513,4167.821,4161.795,0.0,0.0
1970-01-12 13:10:43.401433,1682330168.398,32.0,0.0,4181.923,4177.436,4179.231,4199.231,4187.436,4189.487,4190.385,4169.872,4175.897,4184.359,4233.974,4927.179,4178.462,4169.872,0.0,0.0
1970-01-12 13:10:43.416425,1682330168.406,33.0,0.0,4180.513,4177.692,4181.026,4198.718,4184.359,4185.128,4188.462,4170.385,4178.333,4184.487,4233.077,4926.154,4176.795,4170.0,0.0,0.0
1970-01-12 13:10:43.416461,1682330168.4139,34.0,0.0,4182.821,4178.846,4180.897,4198.333,4184.487,4184.744,4194.615,4177.051,4180.128,4184.231,4233.974,4934.103,4170.385,4168.333,0.0,0.0
1970-01-12 13:10:43.431608,1682330168.4216,35.0,0.0,4180.769,4176.795,4180.897,4199.872,4185.513,4187.821,4201.282,4175.897,4180.513,4183.333,4232.179,4930.641,4164.744,4158.846,0.0,0.0
1970-01-12 13:10:43.431654,1682330168.4295,36.0,0.0,4174.872,4167.564,4197.179,4207.949,4187.179,4187.051,4208.718,4168.59,4173.846,4183.718,4221.538,4921.154,4150.128,4137.179,0.0,0.0
1970-01-12 13:10:43.446707,1682330168.4372,37.0,0.0,4167.564,4159.359,4213.077,4218.974,4188.462,4185.513,4223.462,4165.385,4166.41,4184.359,4212.949,4924.744,4128.846,4113.718,0.0,0.0
1970-01-12 13:10:43.446757,1682330168.4451,38.0,0.0,4162.949,4159.231,4214.487,4216.667,4184.744,4185.513,4226.282,4166.538,4166.026,4182.564,4218.59,4935.0,4128.846,4109.487,0.0,0.0
1970-01-12 13:10:43.461576,1682330168.4529,39.0,0.0,4162.564,4160.256,4209.487,4208.462,4184.615,4182.436,4217.179,4172.949,4171.795,4182.949,4225.385,4936.026,4143.077,4118.077,0.0,0.0
1970-01-12 13:10:43.461616,1682330168.4607,40.0,0.0,4169.359,4165.897,4197.564,4201.923,4186.923,4184.487,4206.795,4183.462,4180.0,4185.897,4228.718,4934.744,4156.923,4142.179,0.0,0.0
1970-01-12 13:10:43.476732,1682330168.4685,41.0,0.0,4179.872,4176.795,4169.103,4190.897,4185.385,4185.513,4192.436,4187.436,4186.923,4186.026,4238.077,4934.231,4177.949,4178.205,0.0,0.0
1970-01-12 13:10:43.493196,1682330168.4765,42.0,0.0,4181.154,4181.538,4152.308,4187.949,4182.949,4183.077,4194.103,4186.538,4188.462,4184.359,4244.103,4927.564,4191.795,4191.667,0.0,0.0
1970-01-12 13:10:43.493248,1682330168.4843,43.0,0.0,4176.538,4178.205,4163.59,4201.026,4186.026,4190.128,4221.154,4187.949,4181.923,4184.231,4234.231,4913.718,4176.41,4161.026,0.0,0.0
1970-01-12 13:10:43.505706,1682330168.4923,44.0,0.0,4181.923,4176.026,4171.923,4204.359,4187.051,4201.41,4228.205,4183.718,4182.308,4184.744,4228.205,4912.308,4165.769,4143.462,0.0,0.0
1970-01-12 13:10:43.507528,1682330168.5001,45.0,0.0,4192.692,4182.308,4159.231,4191.923,4185.513,4203.846,4202.436,4188.333,4190.0,4184.487,4239.103,4921.41,4187.692,4176.667,0.0,0.0
1970-01-12 13:10:43.520812,1682330168.5081,46.0,0.0,4198.205,4197.179,4145.513,4183.462,4187.821,4198.846,4183.205,4201.795,4193.846,4184.487,4250.128,4921.41,4211.923,4212.436,0.0,0.0
1970-01-12 13:10:43.520859,1682330168.516,47.0,0.0,4203.077,4204.615,4142.564,4177.949,4189.103,4201.667,4181.795,4195.256,4193.462,4186.923,4249.103,4911.282,4212.949,4210.385,0.0,0.0
1970-01-12 13:10:43.535778,1682330168.5239,48.0,0.0,4207.821,4200.897,4142.949,4175.897,4191.923,4209.103,4182.564,4182.051,4191.026,4188.077,4242.179,4905.128,4206.923,4196.795,0.0,0.0
1970-01-12 13:10:43.535832,1682330168.5318,49.0,0.0,4207.949,4198.846,4143.077,4177.821,4194.872,4208.077,4175.256,4183.59,4189.744,4187.051,4241.41,4905.256,4206.923,4197.821,0.0,0.0
1970-01-12 13:10:43.550851,1682330168.5398,50.0,0.0,4203.462,4199.872,4143.205,4178.718,4196.41,4209.487,4170.769,4185.256,4190.513,4186.026,4242.564,4898.59,4204.872,4197.436,0.0,0.0
1970-01-12 13:10:43.550902,1682330168.5476,51.0,0.0,4198.462,4196.538,4147.179,4178.333,4193.462,4209.872,4170.0,4182.564,4189.487,4186.667,4239.872,4897.821,4200.769,4195.513,0.0,0.0
1970-01-12 13:10:43.565782,1682330168.5556,52.0,0.0,4196.026,4193.205,4150.128,4182.564,4193.205,4209.615,4170.769,4178.974,4186.026,4186.538,4234.103,4900.897,4197.821,4191.923,0.0,0.0
1970-01-12 13:10:43.567639,1682330168.5634,53.0,0.0,4193.077,4195.0,4147.821,4180.128,4192.179,4206.282,4166.667,4176.795,4186.154,4185.769,4234.615,4910.0,4197.564,4196.154,0.0,0.0
1970-01-12 13:10:43.580832,1682330168.5714,54.0,0.0,4191.026,4197.692,4148.077,4178.077,4188.205,4204.615,4166.154,4173.462,4186.667,4186.538,4236.282,4915.769,4195.256,4200.0,0.0,0.0
1970-01-12 13:10:43.580881,1682330168.5793,55.0,0.0,4189.103,4193.205,4155.897,4180.513,4182.564,4197.949,4166.538,4175.0,4185.385,4185.897,4238.205,4918.077,4196.282,4207.179,0.0,0.0
1970-01-12 13:10:43.595832,1682330168.587,56.0,0.0,4186.154,4190.513,4161.41,4183.205,4179.103,4194.744,4169.359,4177.436,4183.077,4183.846,4238.846,4918.462,4193.974,4210.128,0.0,0.0
1970-01-12 13:10:43.595882,1682330168.5949,57.0,0.0,4186.026,4191.667,4161.026,4181.923,4182.436,4195.769,4172.308,4177.051,4181.795,4184.231,4237.179,4921.154,4190.0,4206.923,0.0,0.0
1970-01-12 13:10:43.611349,1682330168.6026,58.0,0.0,4188.974,4193.846,4160.897,4179.615,4185.128,4193.462,4173.077,4170.769,4181.282,4185.897,4234.615,4921.282,4189.744,4203.205,0.0,0.0
1970-01-12 13:10:43.611398,1682330168.6105,59.0,0.0,4190.128,4198.333,4160.385,4177.308,4185.385,4194.103,4173.462,4167.949,4179.744,4185.256,4232.051,4917.436,4192.051,4211.41,0.0,0.0
1970-01-12 13:10:43.625887,1682330168.6183,60.0,0.0,4189.359,4200.769,4156.538,4177.564,4186.538,4196.154,4173.846,4174.615,4179.487,4184.615,4229.744,4913.718,4189.487,4217.308,0.0,0.0
1970-01-12 13:10:43.627692,1682330168.6261,61.0,0.0,4191.538,4200.641,4152.308,4179.231,4186.667,4194.615,4172.308,4177.051,4182.949,4186.282,4229.872,4914.103,4187.564,4214.615,0.0,0.0
1970-01-12 13:10:43.640933,1682330168.6339,62.0,0.0,4193.846,4200.897,4151.026,4179.872,4185.128,4193.333,4173.462,4175.385,4184.231,4186.667,4234.487,4916.026,4190.769,4214.744,0.0,0.0
1970-01-12 13:10:43.640981,1682330168.6418,63.0,0.0,4193.974,4203.59,4155.513,4179.615,4184.744,4193.718,4175.385,4173.59,4184.231,4185.897,4237.821,4916.154,4193.205,4220.256,0.0,0.0
1970-01-12 13:10:43.655909,1682330168.6495,64.0,0.0,4194.487,4201.282,4158.462,4179.103,4186.923,4194.615,4175.769,4174.872,4185.897,4186.282,4233.718,4914.744,4192.821,4217.692,0.0,0.0
1970-01-12 13:10:43.655963,1682330168.6574,65.0,0.0,4193.846,4201.667,4157.692,4182.436,4185.769,4195.385,4174.103,4177.564,4183.974,4186.41,4230.385,4918.59,4189.744,4214.231,0.0,0.0
1970-01-12 13:10:43.670883,1682330168.6651,66.0,0.0,4192.308,4203.59,4159.744,4190.128,4184.487,4195.641,4175.385,4173.59,4180.641,4185.385,4231.923,4920.897,4185.897,4215.128,0.0,0.0
1970-01-12 13:10:43.670928,1682330168.673,67.0,0.0,4192.564,4202.564,4161.795,4190.256,4190.897,4196.154,4178.462,4170.641,4182.564,4184.872,4233.462,4916.282,4186.282,4216.41,0.0,0.0
