timestamp,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1970-01-14 10:01:13.036352,4183.974,4147.949,4283.974,4249.103,4264.744,4138.077,4177.308,4223.846,4222.692,4170.897,4555.128,4318.333,4349.231,4461.154
1970-01-14 10:01:13.051326,4184.487,4143.205,4283.077,4248.462,4229.872,4134.231,4175.256,4227.564,4222.692,4170.385,4560.256,4320.641,4351.282,4464.487
1970-01-14 10:01:13.051373,4185.769,4142.436,4283.974,4248.846,4199.872,4131.923,4173.846,4225.897,4222.051,4171.282,4563.333,4320.0,4353.462,4463.846
1970-01-14 10:01:13.051400,4186.923,4146.667,4286.41,4250.0,4204.231,4134.872,4175.769,4222.564,4222.564,4174.615,4565.513,4318.205,4356.667,4461.282
1970-01-14 10:01:13.066231,4186.795,4152.821,4289.103,4250.769,4243.077,4143.077,4181.282,4221.154,4223.974,4178.846,4567.821,4317.308,4360.128,4459.359
1970-01-14 10:01:13.066273,4186.026,4156.923,4291.282,4250.769,4285.256,4152.179,4187.564,4222.821,4225.256,4182.692,4570.513,4318.974,4362.564,4459.615
1970-01-14 10:01:13.066301,4185.897,4157.692,4292.564,4250.641,4297.179,4156.282,4190.513,4226.282,4225.128,4185.385,4572.564,4322.051,4363.333,4462.051
1970-01-14 10:01:13.066327,4186.923,4156.282,4292.949,4250.897,4271.026,4153.846,4187.821,4228.974,4223.462,4187.051,4571.923,4323.974,4362.692,4464.487
1970-01-14 10:01:13.084736,4188.462,4154.615,4292.308,4251.282,4229.103,4147.821,4180.769,4229.615,4221.795,4187.051,4568.077,4322.821,4360.641,4464.872
1970-01-14 10:01:13.084785,4188.846,4153.462,4290.897,4250.897,4201.923,4143.077,4173.59,4227.179,4220.769,4184.359,4562.436,4319.359,4357.179,4462.692
1970-01-14 10:01:13.084811,4187.308,4152.436,4288.333,4249.231,4203.718,4142.051,4169.359,4221.538,4219.872,4179.359,4557.051,4314.872,4352.051,4458.718
1970-01-14 10:01:13.084837,4184.359,4151.154,4284.872,4247.051,4224.231,4143.718,4168.718,4213.59,4217.949,4174.103,4553.333,4310.128,4346.667,4455.0
1970-01-14 10:01:13.096324,4182.692,4150.897,4281.538,4245.897,4243.59,4145.769,4169.872,4206.282,4215.513,4172.436,4551.538,4306.41,4343.974,4453.718
1970-01-14 10:01:13.096373,4183.718,4152.821,4280.385,4247.051,4251.026,4147.821,4170.769,4203.205,4214.103,4176.282,4551.795,4305.897,4345.897,4456.026
1970-01-14 10:01:13.096401,4186.795,4155.897,4281.795,4249.744,4249.615,4150.0,4170.641,4205.513,4215.256,4183.718,4553.974,4308.718,4351.282,4460.385
1970-01-14 10:01:13.096428,4188.718,4156.795,4283.718,4251.923,4244.487,4152.051,4169.744,4210.897,4217.949,4189.103,4556.795,4311.923,4355.0,4462.821
1970-01-14 10:01:13.111429,4186.41,4152.692,4283.333,4251.282,4230.641,4151.667,4168.333,4214.487,4219.744,4187.179,4557.308,4311.795,4353.077,4460.385
1970-01-14 10:01:13.111478,4180.385,4145.256,4279.872,4248.59,4199.487,4147.051,4166.667,4212.564,4218.974,4177.564,4553.974,4307.308,4345.769,4453.333
1970-01-14 10:01:13.111505,4174.487,4139.872,4275.641,4246.026,4154.103,4138.333,4165.0,4206.026,4216.026,4166.667,4549.103,4301.795,4338.974,4446.154
1970-01-14 10:01:13.111530,4172.949,4142.179,4273.333,4246.154,4116.667,4128.846,4163.846,4199.872,4213.59,4163.077,4547.436,4298.846,4339.615,4443.59
1970-01-14 10:01:13.126329,4176.154,4152.051,4274.359,4248.974,4116.795,4123.718,4163.205,4198.59,4213.974,4170.641,4551.667,4299.487,4349.231,4447.436
1970-01-14 10:01:13.126373,4180.641,4163.205,4277.051,4251.795,4168.974,4125.897,4162.564,4202.436,4217.564,4182.949,4559.231,4301.538,4362.051,4454.487
1970-01-14 10:01:13.126399,4180.897,4166.795,4277.564,4250.513,4257.821,4133.718,4160.641,4207.051,4221.154,4189.103,4563.333,4301.154,4368.333,4457.821
1970-01-14 10:01:13.126426,4174.487,4158.462,4272.692,4242.949,4340.769,4141.026,4156.538,4206.795,4220.385,4183.205,4558.077,4295.641,4362.179,4453.077
1970-01-14 10:01:13.143425,4164.103,4142.179,4263.333,4231.923,4370.897,4142.436,4151.026,4200.128,4214.615,4170.256,4544.872,4285.641,4346.795,4442.051
1970-01-14 10:01:13.143476,4156.154,4128.077,4254.872,4223.462,4329.359,4137.692,4147.308,4191.795,4207.949,4161.923,4532.051,4276.154,4333.077,4432.179
1970-01-14 10:01:13.143505,4156.154,4125.641,4253.718,4223.462,4243.718,4132.821,4149.103,4189.487,4206.41,4165.513,4529.231,4274.231,4330.897,4430.769
1970-01-14 10:01:13.156429,4164.231,4135.513,4261.154,4231.795,4171.538,4134.744,4157.308,4196.795,4212.179,4177.436,4539.744,4281.41,4341.667,4438.846
1970-01-14 10:01:13.156477,4174.872,4149.231,4271.41,4242.436,4157.821,4144.744,4168.077,4209.872,4220.897,4187.821,4556.41,4292.051,4357.051,4450.0
1970-01-14 10:01:13.156505,4180.385,4155.769,4276.538,4247.436,4201.154,4156.667,4174.359,4219.359,4225.897,4188.846,4566.795,4297.179,4365.385,4455.513
1970-01-14 10:01:13.156533,4177.051,4150.513,4272.949,4242.821,4257.436,4161.795,4171.41,4218.205,4223.462,4180.513,4562.564,4292.692,4361.026,4450.641
1970-01-14 10:01:13.171498,4167.949,4138.462,4263.974,4232.179,4278.59,4156.282,4160.513,4207.436,4215.256,4170.256,4546.923,4281.923,4348.205,4439.487
1970-01-14 10:01:13.171546,4160.769,4130.385,4256.795,4224.103,4251.41,4143.846,4149.103,4195.513,4207.436,4166.154,4532.692,4272.821,4337.949,4431.282
1970-01-14 10:01:13.171573,4162.179,4133.974,4257.564,4225.385,4204.615,4133.462,4145.128,4191.667,4205.513,4171.026,4532.308,4272.692,4339.487,4433.462
1970-01-14 10:01:13.171599,4172.436,4148.333,4267.308,4235.897,4180.769,4131.923,4151.538,4199.487,4211.026,4181.282,4547.564,4282.821,4352.564,4446.41
1970-01-14 10:01:13.186444,4185.641,4165.385,4280.897,4248.974,4202.821,4140.128,4164.231,4214.359,4220.641,4190.897,4568.974,4297.949,4368.718,4463.077
1970-01-14 10:01:13.186489,4194.615,4176.538,4290.513,4257.051,4258.333,4152.564,4175.256,4227.436,4227.821,4196.282,4583.333,4308.718,4378.718,4474.615
1970-01-14 10:01:13.186516,4194.744,4177.949,4290.897,4255.897,4311.538,4161.667,4177.821,4230.897,4228.205,4197.564,4583.077,4308.846,4378.077,4475.128
1970-01-14 10:01:13.186543,4186.538,4170.0,4282.308,4247.308,4328.462,4161.795,4170.256,4223.077,4222.051,4195.256,4570.385,4299.487,4368.846,4464.872
1970-01-14 10:01:13.201926,4174.872,4157.564,4270.256,4236.41,4299.744,4152.051,4156.667,4209.103,4213.462,4188.718,4554.231,4287.564,4357.051,4449.615
1970-01-14 10:01:13.204472,4166.154,4147.051,4261.026,4228.59,4246.923,4138.333,4144.359,4196.41,4206.923,4178.59,4543.846,4280.0,4349.487,4437.949
1970-01-14 10:01:13.204507,4164.359,4143.333,4258.974,4226.282,4205.513,4129.231,4140.0,4190.769,4204.615,4169.744,4543.718,4279.744,4349.103,4435.897
1970-01-14 10:01:13.218762,4168.718,4147.436,4263.974,4228.974,4196.538,4130.513,4145.769,4193.333,4206.795,4167.821,4552.051,4285.641,4354.744,4443.974
1970-01-14 10:01:13.218810,4174.744,4156.154,4272.692,4233.718,4211.41,4140.769,4157.949,4201.538,4212.564,4173.462,4563.205,4293.59,4361.795,4456.41
