Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
-25.78,-57.98,-322.898,-457.946,-31.095,-46.749,103.875,-77.35,-48.621,-37.776,-43.519,-34.8,-54.156,-50.723,-50.249,-45.161,-10.056,2.055,-19.055,-40.365,-16.699,-46.838,-43.35,-21.463,-136.931,-59.751,-28.567,-75.873,-180.899,2
-23.192,-48.188,-311.817,-435.971,-20.306,-41.067,110.431,-69.588,-37.814,-30.054,-38.352,-28.105,-46.417,-38.377,-44.563,-38.456,3.786,13.836,-12.888,-24.955,-12.584,-39.106,-36.646,-19.393,-104.006,-57.642,-24.952,-69.137,-175.083,2
-8.312,-37.382,-306.382,-423.24,-14.65,-26.169,78.046,-44.928,-22.919,-17.728,-28.58,-21.417,-29.465,-22.969,-37.346,-29.196,18.127,25.605,-0.58,-12.123,-2.837,-25.747,-28.925,-4.516,-110.562,-46.313,-17.755,-45.502,-165.686,2
-12.915,-44.516,-314.785,-441.26,-19.246,-32.803,45.692,-52.567,-39.29,-27.957,-34.187,-28.055,-43.267,-33.192,-40.383,-35.827,5.301,14.821,-5.703,-24.406,-11.544,-32.381,-35.556,-1.95,-142.727,-48.829,-17.737,-51.092,-163.983,2
-15.463,-43.447,-306.786,-443.38,-14.104,-37.381,78.434,-67.884,-50.009,-33.052,-32.616,-26.49,-53.983,-35.72,-37.268,-35.278,5.296,14.294,-4.16,-20.283,-16.655,-31.837,-32.959,-0.924,-145.658,-46.731,-14.646,-54.627,-169.455,2
-2.64,-32.133,-301.356,-425.006,-6.405,-23.511,111.143,-61.156,-32.541,-21.236,-20.8,-16.218,-37.023,-20.828,-24.423,-23.972,21.172,28.624,8.139,-4.893,-4.855,-20.534,-21.655,4.713,-123.995,-35.413,-9.508,-36.641,-173.896,2
-7.761,-36.199,-319.498,-427.143,-9.985,-21.439,78.757,-56.484,-29.435,-17.116,-22.829,-19.275,-33.912,-27.979,-23.887,-25.998,13.466,23.473,3.521,-15.135,-8.437,-25.124,-27.269,0.609,-124.896,-41.013,-13.597,-43.265,-175.259,2
-19.536,-41.799,-321.227,-441.572,-14.073,-33.713,46.403,-69.236,-48.361,-23.759,-27.929,-24.891,-46.173,-42.808,-31.035,-33.144,4.743,14.228,-3.655,-22.292,-21.748,-30.222,-32.365,-2.465,-119.648,-48.657,-18.194,-61.152,-168.936,2
-6.709,-30.998,-296.828,-439.594,-7.399,-26.507,72.996,-71.728,-44.214,-19.637,-17.143,-16.157,-37.418,-32.519,-24.856,-25.938,18.571,24.46,10.693,-6.388,-11.993,-16.36,-16.963,10.345,-99.036,-33.751,-9.979,-45.722,-157.496,2
9.692,-14.061,-282.698,-421.223,6.953,-5.988,105.711,-53.213,-22.14,-2.199,-3.293,-5.383,-19.962,-18.654,-13.561,-13.105,31.872,38.267,26.052,4.889,2.876,0.05,-2.089,28.265,-89.203,-15.787,3.863,-19.548,-150.679,2
7.633,-6.363,-286.002,-404.408,15.143,0.166,112.778,-41.889,-17.507,6,1.321,0.77,-12.77,-13,-10.986,-6.944,39.525,40.791,27.05,5.397,-1.737,4.149,1.499,37.971,-82.966,-9.623,5.909,-8.258,-145.405,2
-0.572,-17.627,-295.45,-406.566,4.881,-11.105,113.177,-50.556,-24.15,-4.764,-5.34,-3.841,-15.318,-4.79,-15.585,-14.622,42.047,36.651,19.851,0.78,-14.031,-7.638,-5.163,31.273,-91.593,-16.274,-2.806,-14.91,-144.235,2
-11.842,-41.688,-310.524,-430.237,-14.079,-23.902,86.424,-57.678,-29.249,-16.542,-21.217,-20.231,-29.648,-10.933,-27.865,-30.489,25.611,23.295,4.462,-14.077,-26.312,-28.635,-26.162,9.213,-123.776,-38.286,-12.537,-46.658,-161.509,2
-22.588,-55.478,-318.41,-443.639,-20.213,-25.415,54.062,-53.522,-33.318,-16.014,-29.905,-26.359,-37.815,-26.292,-39.62,-36.094,15.339,8.415,-7.326,-23.285,-34.483,-38.853,-36.894,-4.117,-134.923,-53.617,-19.185,-68.641,-183.889,2
-16.93,-51.837,-311.432,-429.876,-12.508,-17.192,77.574,-45.784,-24.575,-10.874,-21.678,-16.086,-25.994,-18.068,-34.458,-28.885,27.619,10.968,-2.708,-14.04,-29.838,-33.179,-26.611,3.06,-111.735,-44.342,-18.141,-53.203,-183.193,2
-2.057,-40.514,-300.362,-412.54,-1.737,-8.978,110.284,-36.004,-10.206,-3.179,-10.385,-8.898,-15.722,-0.12,-20.079,-21.172,36.301,24.789,6.004,-4.804,-20.074,-24.949,-19.412,15.352,-109.574,-30.466,-7.364,-40.342,-170.715,2
6.655,-30.74,-297.5,-411.103,6.974,-5.895,120.933,-31.87,-12.245,1.947,-5.764,-7.352,-17.243,-0.632,-11.862,-17.564,41.9,31.424,15.22,0.324,-15.443,-15.19,-15.295,18.923,-105.366,-27.361,-0.185,-39.277,-167.982,2
4.599,-34.295,-302.325,-419.913,0.82,-12.037,106.467,-45.67,-24.528,-7.789,-10.369,-9.906,-22.349,-2.68,-16.973,-19.084,48.518,31.905,23.401,2.372,-20.039,-10.564,-8.107,19.929,-83.231,-26.822,-2.746,-29.504,-168.839,2
-5.14,-51.679,-309.708,-429.227,-22.747,-30.981,106.873,-65.605,-39.361,-26.224,-29.314,-22.704,-35.647,-7.801,-35.399,-30.335,36.687,24.189,10.058,-11.975,-35.9,-24.386,-18.345,18.372,-104.665,-35.504,-10.428,-39.208,-166.621,2
-14.356,-60.337,-314.521,-434.433,-32.458,-43.245,80.126,-71.174,-54.691,-33.37,-41.58,-32.415,-49.956,-30.335,-49.196,-42.088,20.256,7.258,-12.494,-28.356,-46.11,-38.193,-34.721,8.107,-136.835,-49.301,-19.127,-63.247,-171.577,2
-11.78,-46.957,-309.596,-425.802,-15.008,-28.857,47.77,-58.808,-46.439,-21.553,-27.194,-23.673,-41.196,-32.353,-38.388,-36.923,32.019,9.813,-4.796,-17.057,-37.867,-27.909,-24.44,6.562,-108.009,-42.079,-16.546,-47.303,-173.455,2
-0.498,-26.93,-295.966,-402.834,1.401,-10.385,31.841,-41.33,-25.388,-6.675,-10.261,-11.354,-21.687,-3.632,-21.444,-20.492,54.016,29.27,16.725,1.915,-29.632,-11.487,-9.046,25.511,-78.7,-22.057,-2.185,-20.615,-156.375,2
6.675,-21.78,-290.547,-399.87,-0.137,-14.986,64.597,-44.875,-27.924,-8.205,-15.373,-12.368,-22.178,2.007,-21.422,-18.422,53.45,28.217,12.61,-1.161,-33.189,-16.087,-16.209,34.195,-104.236,-22.547,0.379,-32.378,-144.948,2
-0.504,-27.906,-300.503,-422.012,-6.797,-28.291,97.32,-66.347,-39.167,-17.419,-24.067,-17.991,-31.377,-16.95,-29.598,-28.65,40.589,11.282,0.302,-11.406,-37.254,-26.829,-26.439,17.254,-113.354,-34.308,-9.868,-43.104,-162.222,2
-4.602,-22.755,-302.251,-416.467,-5.253,-21.09,70.07,-62.695,-27.857,-8.692,-15.334,-13.874,-23.149,-12.835,-29.056,-26.06,42.085,13.832,6.449,-7.808,-35.68,-21.167,-21.802,15.7,-91.211,-28.126,-5.759,-23.081,-172.818,2
10.26,-3.264,-287.092,-383.263,11.658,6.083,37.725,-29.844,-5.8,13.346,1.075,-0.54,-2.634,5.109,-13.658,-11.689,56.388,29.188,21.3,6.032,-27.447,-5.264,-8.46,39.763,-102.903,-10.679,11.665,-1.541,-153.178,2
14.348,2.887,-283.219,-378.781,23.43,19.397,48.958,-12.396,4.964,21.53,5.173,2.534,3.004,5.104,-3.398,-10.141,57.868,29.159,21.791,11.661,-22.297,-3.722,-5.89,45.359,-131.489,-9.644,12.165,-0.515,-144.827,2
-9.233,-18.633,-305.99,-410.677,2.402,-4.7,81.697,-44.147,-12.971,2.04,-11.739,-12.838,-15.442,-10.271,-22.35,-23.963,36.806,6.588,0.252,-7.306,-38.669,-23.186,-26.377,15.599,-121.112,-31.151,-6.29,-24.593,-168.249,2
