Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
6.012,-25.011,-88.22,-22.59,-57.413,-14.796,-44.925,-25.963,-78.265,-52.295,-37.426,-16.25,-51.721,-73.419,50.307,14.618,-87.288,124.854,11.117,-53.284,-7.453,-0.198,-16.762,-21.833,-17.754,-54.41,10.353,-20.727,-48.398,4
8.567,-22.425,-99.403,-24.105,-53.769,-14.781,-28.998,-26.449,-74.089,-49.169,-33.803,-13.16,-48.083,-66.174,54.868,20.751,-87.713,123.705,17.253,-46.058,-2.322,3.389,-16.745,-19.25,-9.54,-46.671,13.416,-10.46,-80.625,4
-2.712,-37.772,-131.579,-37.401,-60.375,-26.037,-42.802,-34.62,-78.113,-56.805,-42.99,-27.491,-59.305,-82.501,48.153,3.825,-102.995,108.212,2.892,-58.307,-13.078,-9.422,-24.413,-38.186,-23.363,-59.944,-2.479,-22.232,-112.819,4
-12.956,-54.64,-153.476,-50.171,-70.561,-35.233,-57.103,-36.634,-86.232,-63.408,-52.169,-39.247,-67.955,-96.251,45.031,-11.036,-115.187,97.345,-7.87,-71.057,-22.287,-18.122,-27.975,-49.418,-35.122,-72.692,-10.161,-43.215,-115.78,4
-14.992,-56.122,-148.712,-51.658,-74.077,-33.66,-63.706,-30.45,-83.584,-63.344,-53.141,-39.72,-68.4,-92.569,46.011,-11.537,-110.973,107.494,-8.374,-73.547,-25.338,-20.666,-31.021,-46.807,-37.649,-73.132,-7.077,-38.561,-122.325,4
-21.637,-55.554,-151.637,-48.02,-73.49,-34.651,-61.081,-27.346,-79.402,-70.966,-61.797,-47.877,-72.43,-92.988,37.768,-21.772,-110.35,103.8,-15.026,-80.646,-35.559,-29.354,-40.211,-53.421,-43.246,-80.231,-13.218,-31.862,-154.478,4
-40.571,-75.478,-179.15,-54.12,-82.126,-52.547,-73.315,-40.126,-92.643,-88.825,-79.154,-68.834,-89.263,-109.802,16.213,-46.853,-128.17,75.519,-33.454,-100.033,-54.479,-48.28,-51.442,-76.933,-56.011,-101.155,-28.061,-55.909,-169.692,4
-49.752,-92.821,-195.365,-62.775,-88.704,-64.278,-91.685,-49.307,-100.235,-94.884,-81.124,-75.937,-96.346,-117.376,12.098,-53.979,-129.579,75.444,-40.08,-106.081,-58.523,-55.917,-54.976,-86.078,-61.59,-109.251,-32.132,-75.321,-158.252,4
-38.431,-82.995,-192.096,-56.564,-82.467,-53.968,-68.54,-40.549,-86.814,-84.543,-70.797,-63.566,-82.93,-98.304,35.652,-39.58,-106.396,103.545,-23.647,-90.605,-43.095,-42.541,-47.749,-69.086,-49.746,-96.846,-23.39,-58.851,-157.581,4
-30.708,-73.69,-193.953,-46.262,-78.799,-48.79,-37.733,-35.897,-78.018,-77.286,-67.14,-56.842,-73.113,-77.201,46.888,-31.856,-99.117,104.979,-13.377,-82.318,-37.417,-33.789,-42.066,-57.234,-39.962,-89.577,-19.781,-37.788,-168.182,4
-34.776,-78.739,-194.271,-47.24,-81.794,-55.402,-59.212,-41.497,-84.088,-83.357,-68.097,-60.884,-77.651,-75.074,36.594,-37.972,-105.166,93.091,-21.048,-88.383,-47.113,-41.952,-45.61,-62.812,-49.656,-94.098,-24.372,-35.701,-170.576,4
-40.889,-84.808,-194.077,-51.803,-82.737,-62.006,-91.428,-46.066,-91.176,-91.983,-72.64,-67.483,-82.696,-78.073,31.435,-44.082,-98.913,104.781,-23.076,-91.881,-53.726,-51.644,-50.175,-68.384,-54.217,-100.152,-28.958,-43.35,-181.164,4
-48.532,-93.945,-210.789,-53.801,-83.679,-71.678,-94.41,-49.094,-91.085,-95.477,-78.203,-74.588,-84.663,-74.409,21.67,-48.136,-96.765,110.824,-18.442,-90.765,-55.209,-53.641,-52.686,-73.951,-46.478,-104.662,-32.515,-54.577,-201.987,4
-48.484,-102.048,-219.8,-55.796,-80.521,-75.705,-94.316,-46.996,-85.871,-94.869,-73.002,-79.636,-84.066,-71.261,-10.628,-52.186,-100.766,97.905,-22.522,-85.038,-57.716,-54.1,-53.658,-81.05,-46.944,-107.632,-35.557,-60.158,-199.736,4
