Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
24.874,-5.178,-75.295,-12.198,11.038,9.847,-158.639,-2.946,5.634,17.247,15.289,6.24,9.324,12.286,24.741,10.405,12.219,20.443,9.147,21.69,-43.625,5.105,1.337,12.749,35.352,12.03,-90.236,14.132,-91.486,4
19.726,1.999,-63.949,-9.112,10.515,15.473,-125.693,-0.894,8.703,23.377,16.81,7.258,12.389,9.712,24.204,16.03,10.669,17.861,6.064,23.205,-48.705,10.223,-0.714,10.174,53.759,21.239,-88.096,25.388,-80.636,4
0.751,-1.589,-71.57,-16.275,13.578,2.65,-92.779,-20.873,-5.138,8.497,5.523,0.079,-0.431,-5.155,9.323,3.719,-3.686,5.035,-1.114,11.911,-53.779,6.114,-0.713,5.553,57.292,17.12,-94.668,24.338,-94.388,4
3.312,-3.637,-78.158,-11.648,15.614,1.11,-98.834,-23.926,-6.158,5.927,5.517,-2.995,-2.48,-1.563,12.9,0.641,-0.608,6.567,6.059,11.899,-49.115,4.571,5.947,13.232,49.55,14.541,-92.012,27.388,-104.027,4
13.555,-5.682,-77.568,-9.587,3.815,7.769,-126.912,-9.558,-2.053,6.946,5,-1.968,-1.965,2.024,18.522,2.69,8.101,11.171,5.541,14.449,-50.09,4.054,6.454,12.194,56.673,15.039,-88.846,19.676,-104.436,4
6.881,-8.75,-73.904,-15.725,-1.312,1.614,-138.569,-14.159,-12.297,-2.283,0.896,-2.99,-8.111,-9.761,10.307,-2.948,0.409,5.525,-3.174,10.336,-51.065,2.513,1.324,9.621,49.956,11.95,-91.319,5.824,-105.356,4
4.825,-8.742,-68.195,-20.833,10.473,-5.56,-106.667,-29.514,-16.383,-3.817,3.969,-2.987,-9.127,-6.165,10.296,-0.896,-5.739,1.933,-0.097,11.863,-46.915,3.535,1.323,15.247,42.221,11.426,-89.691,11.454,-100.127,4
13.017,-12.319,-75.811,-29.521,9.438,-8.629,-126.028,-27.435,-13.293,-2.277,0.891,-2.984,-11.168,2.55,13.872,-2.432,-4.197,0.394,-3.171,8.777,-54.04,-1.592,-3.289,0.374,69.331,8.853,-91.65,12.467,-100.54,4
12.492,-12.819,-83.42,-27.442,-3.379,-5.546,-158.177,-10.502,-10.718,0.287,-1.671,-4.518,-10.132,-4.624,8.223,-8.577,-1.631,-1.143,-9.315,6.207,-57.573,-3.639,-5.335,-12.946,81.045,3.721,-95.657,6.307,-105.05,4
7.868,-0.511,-63.356,-6.923,7.382,14.952,-125.231,-0.757,7.223,17.193,14.724,3.683,9.346,2.553,15.899,4.751,7.08,7.567,7.088,21.57,-40.609,11.221,6.453,11.145,48.689,17.549,-83.266,27.305,-89.576,4
11.959,11.273,-37.678,3.33,27.867,24.671,-92.319,-5.367,16.437,25.373,23.419,11.364,15.484,15.358,30.74,11.919,10.659,14.22,13.228,26.159,-36.982,14.284,7.471,20.356,31.222,29.827,-74.986,44.184,-71.043,4
15.021,7.675,-23.808,5.376,26.302,10.301,-124.502,-5.874,0.027,14.589,10.075,1.619,-0.925,-0.539,27.636,-8.073,-1.647,3.447,-9.839,7.177,-50.777,-4.686,-8.93,-3.231,41.949,12.891,-86.694,28.258,-58.164,4
5.784,4.082,2.344,19.716,17.055,8.754,-156.653,-1.258,-2.534,8.939,2.893,-5.555,-5.022,-12.834,18.387,-14.213,-6.256,-7.315,-17.513,1.023,-51.751,-7.755,-10.97,-1.178,42.419,2.632,-90.193,26.693,-25.318,4
-2.418,11.762,35.129,23.794,14.988,12.844,-123.708,-13.04,5.665,9.442,6.476,1.111,2.155,-3.087,16.319,-6.002,1.435,-3.209,-7.25,9.731,-48.626,0.962,-1.738,14.192,49.037,15.949,-81.906,45.621,7.495,4
6.293,21.996,67.882,17.623,15.486,5.146,-90.797,-19.174,-2.025,7.384,5.958,2.134,0.103,-2.06,19.889,-9.07,0.921,2.429,-6.73,9.721,-53.7,-3.137,-2.248,4.956,76.14,16.446,-80.287,51.724,33.615,4
16.021,35.294,100.602,33.999,21.618,15.387,-122.981,5.436,0.026,14.549,12.099,-1.454,1.64,-8.205,26.529,-9.061,-1.641,1.915,-4.674,9.199,-48.523,0.964,0.828,4.439,90.409,14.892,-76.109,66.529,60.221,4
12.931,53.19,130.215,62.142,28.256,35.864,-100.317,19.775,14.883,25.805,21.821,3.67,8.299,-3.586,27.527,-1.367,0.922,0.888,1.991,14.313,-37.716,14.796,10.049,21.341,84.17,32.296,-65.786,96.176,82.703,4
13.943,64.408,132.134,74.375,26.691,33.267,-67.429,1.824,12.306,24.242,23.336,8.278,9.315,-3.583,29.036,-2.902,1.945,1.4,1.989,18.909,-35.117,11.707,9.526,24.393,69.742,37.387,-62.134,102.228,92.354,4
25.199,61.782,130.977,73.276,27.177,31.184,-99.637,-0.739,7.171,25.243,28.436,11.855,12.892,-9.215,40.278,-1.363,3.993,3.96,6.085,23.501,-30.983,9.134,5.931,23.857,51.741,32.739,-59.511,94.953,105.581,4
24.662,58.646,132.895,69.617,35.859,43.449,-131.813,21.291,20.996,40.074,39.678,22.09,24.662,0.016,44.336,10.934,14.235,16.763,15.813,27.576,-21.219,20.908,13.097,35.104,53.739,45.001,-52.791,98.444,107.013,4
16.44,58.587,113.295,63.4,38.384,45.454,-98.893,19.733,25.586,46.694,42.2,25.654,31.81,19.484,40.194,13.997,24.467,32.116,20.92,31.647,-19.148,25.498,20.256,33.532,74.177,51.616,-52.226,92.71,74.63,4
