Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
44.741,-21.141,12.304,-7.942,8.525,65.839,-52.219,-32.512,0.091,0.057,25.958,14.97,-1.794,-5.819,51.508,8.156,-7.706,12.433,7.342,50.14,-28.379,0.977,-5.854,-7.779,-14.166,8.677,73.572,-11.822,-14.074,4
26.253,-37.001,-3.589,-28.939,-12.488,44.769,-32.186,-27.869,-16.816,-20.948,4.927,-7.074,-15.112,-17.084,35.575,-12.344,-16.92,2.687,-6.497,34.208,-41.158,-14.394,-16.095,-21.092,-27.985,-10.287,60.178,-28.716,-26.868,4
17.517,-41.062,0.513,-22.763,-22.21,38.064,-24.982,-17.595,-31.656,-32.198,-1.738,-17.313,-19.195,-25.776,26.317,-22.066,-22.026,1.66,-8.54,29.051,-49.826,-17.453,-15.566,-30.292,-28.981,-16.937,55.507,-35.347,-29.915,4
27.234,-27.701,15.881,6.974,-6.818,56.982,-27.519,-18.089,-16.767,-11.673,11.584,-4.488,-12.004,-23.701,33.976,-11.285,-15.856,16.003,2.739,37.731,-40.043,-8.726,-5.304,-23.089,-18.194,-10.772,57.501,-28.652,-21.688,4
33.354,-21.014,18.427,16.189,3.435,66.146,-21.856,-22.682,-4.967,-1.928,21.306,6.275,-6.356,-21.116,43.163,0.509,-8.156,28.282,10.421,42.816,-30.269,-3.082,3.922,-15.382,-15.102,-9.737,57.443,-24.012,-16.543,4
25.636,-23.554,17.384,4.389,-2.204,55.321,-16.198,-17.536,-9.573,-11.66,21.285,9.342,-3.276,-14.435,43.12,6.144,-1.487,39.525,17.583,45.847,-26.652,3.581,11.603,-11.268,-9.451,-6.653,60.46,-18.865,-9.354,4
22.024,-24.043,19.416,-2.787,-3.739,51.168,-23.867,-5.736,-6.49,-6.013,20.751,15.481,4.412,-5.711,42.052,11.773,3.637,46.657,24.225,51.437,-19.966,12.286,17.739,-2.547,2.854,1.551,61.936,-15.26,-1.66,4
22.002,-30.167,5.564,-8.932,-6.297,54.19,-34.601,-13.415,-0.335,0.653,20.731,15.978,6.457,-12.878,42.01,11.762,-0.977,44.049,20.615,51.386,-19.946,8.688,17.209,-2.545,2.339,0.524,57.776,-23.442,-11.905,4
9.173,-44.993,-16.983,-21.731,-23.196,41.841,-39.178,-32.869,-10.069,-12.667,12.001,4.691,-2.259,-25.16,32.747,0.479,-12.759,39.394,9.324,40.576,-29.147,-2.591,7.458,-14.838,-10.472,-9.21,49.009,-37.763,-29.311,4
3.016,-53.145,-25.163,-29.906,-29.833,36.676,-42.212,-27.201,-15.182,-16.241,4.816,-3.511,-6.867,-20.012,24.005,-7.718,-19.407,39.355,1.63,31.826,-30.655,-7.712,-1.259,-23.02,-15.072,-14.836,43.325,-46.435,-35.942,4
20.944,-41.309,-20.015,-20.655,-12.897,55.595,-38.072,-9.755,-1.847,-1.368,15.57,4.177,2.361,-8.209,34.739,0.486,-15.801,43.414,4.702,37.429,-20.891,-3.606,0.792,-20.435,-10.958,-10.723,50.454,-38.704,-32.32,4
33.73,-25.899,-14.872,-2.703,-3.151,62.199,-22.664,-14.868,2.253,0.683,25.288,13.395,6.969,-4.615,46.488,11.757,-10.15,47.982,13.406,46.101,-8.574,4.082,6.939,-12.73,-8.386,-1.491,64.748,-22.271,-22.554,4
28.573,-29.459,-17.418,-4.75,-11.344,50.354,-14.957,-24.075,-8.507,-9.564,19.115,10.307,-0.722,-4.61,43.367,13.282,-13.214,49.983,15.955,46.055,-2.93,5.615,4.883,-8.619,-9.402,1.072,67.244,-23.273,-19.457,4
28.545,-39.675,-26.11,-19.09,-12.358,57.988,-26.213,-14.829,-6.962,-4.943,19.096,10.809,0.303,-7.167,42.299,15.318,-16.787,53.007,13.889,46.521,-1.903,2.024,1.292,-12.709,-8.368,-2.515,66.153,-34.009,-30.708,4
33.127,-36.05,-22.498,-11.898,-1.074,72.787,-38.994,-4.056,3.804,6.332,30.348,18.483,9.012,-12.795,48.917,20.938,-17.794,58.077,14.388,49.549,1.685,2.022,3.34,-13.208,-4.773,-1.488,71.21,-28.339,-31.702,4
26.946,-29.866,-9.155,6.557,3.537,63.493,-36.394,-5.077,-1.323,0.691,25.707,11.805,5.417,-17.905,44.257,15.281,-24.949,55.969,9.25,40.79,2.196,-4.641,0.262,-13.707,-8.867,-6.097,66.015,-22.675,-20.4,4
16.673,-37.008,-6.072,1.939,-9.274,52.158,-23.037,-11.732,-12.593,-13.142,10.312,-2.039,-5.347,-22.498,31.405,1.434,-36.195,48.229,-3.567,27.941,-3.954,-20.517,-12.546,-24.965,-19.617,-20.435,50.58,-36.997,-24.478,4
11.021,-41.07,-11.702,-9.846,-23.609,53.131,-6.62,-14.281,-14.629,-15.691,6.203,-1.525,-7.391,-24.525,28.3,-2.666,-37.695,48.693,-7.662,29.45,-1.901,-22.034,-14.582,-31.087,-22.159,-20.927,44.382,-45.67,-31.626,4
8.961,-36.418,-14.252,-7.274,-23.073,53.078,0.046,-13.755,-11.029,-11.064,9.783,3.087,-4.31,-25.013,31.346,0.923,-36.121,53.255,-1.506,35.056,7.835,-14.327,-4.834,-25.421,-15.989,-11.685,45.874,-40.501,-26.471,4
3.829,-43.554,-20.897,-9.829,-21.001,52.512,-17.372,-18.864,-7.944,-11.053,8.236,-1.014,-5.33,-28.574,28.241,-1.127,-41.72,52.177,-3.042,31.435,8.852,-17.387,-7.391,-28.469,-17.51,-18.333,41.218,-50.194,-34.642,4
-5.909,-62.466,-35.221,-25.188,-31.738,49.898,-34.261,-25.505,-7.936,-13.091,3.105,-2.55,-6.349,-29.57,20.528,-6.249,-46.289,49.563,-10.723,26.281,3.72,-22.492,-16.092,-38.175,-26.714,-29.586,35.029,-68.587,-54.075,4
-14.1,-73.674,-43.383,-36.434,-46.051,44.213,-24.493,-27.529,-13.051,-13.078,-1.509,-3.572,-4.806,-22.368,16.921,-8.292,-45.218,51.051,-11.225,25.23,4.741,-21.958,-17.101,-41.723,-29.761,-31.605,31.92,-77.228,-57.607,4
-18.184,-78.723,-52.561,-42.545,-57.276,46.218,-21.907,-34.674,-14.575,-14.09,-6.118,-10.229,-6.85,-20.809,12.806,-11.358,-47.222,52.024,-9.164,21.106,8.322,-28.596,-20.67,-46.292,-30.243,-35.672,26.253,-81.761,-59.086,4
-20.728,-84.28,-67.878,-47.113,-65.416,51.295,-40.84,-38.738,-10.974,-17.15,-11.747,-14.317,-10.942,-31.034,6.645,-16.982,-54.347,48.898,-14.278,15.962,10.363,-36.252,-28.334,-51.368,-37.386,-39.735,21.103,-86.29,-71.835,4
-16.096,-82.147,-71.396,-44.504,-63.813,50.219,-42.337,-30.502,-6.865,-16.108,-11.223,-11.741,-9.906,-38.175,8.175,-16.965,-57.367,50.386,-15.801,17.483,17.013,-31.092,-28.818,-50.292,-43.496,-35.597,25.693,-82.618,-74.837,4
-2.76,-69.257,-58.004,-35.751,-49.405,56.829,-28.462,-20.225,1.852,-7.895,1.083,-4.045,-1.7,-30.453,19.95,-4.653,-49.625,60.07,-5.539,25.662,33.389,-19.278,-22.641,-43.582,-39.354,-28.901,38.987,-70.752,-58.368,4
8.514,-56.892,-49.237,-25.469,-37.572,70.604,-23.31,-13.033,5.948,-0.202,12.353,6.718,2.913,-20.176,31.201,12.258,-41.378,68.207,5.737,33.834,48.725,-6.451,-12.885,-34.829,-30.605,-21.7,53.293,-58.898,-42.428,4
9.017,-57.347,-51.237,-22.882,-42.146,69.509,-16.115,-14.557,-6.866,-3.788,10.804,5.687,-3.238,-20.668,31.682,14.295,-46.46,68.139,5.732,34.312,52.263,-3.371,-8.261,-31.721,-29.55,-19.629,60.924,-57.815,-44.947,4
2.348,-64.462,-51.186,-31.056,-51.837,64.316,-10.463,-24.276,-16.08,-9.42,5.157,-2.004,-9.382,-22.184,26.527,5.572,-53.586,65.509,1.115,31.204,51.186,-14.638,-14.913,-36.3,-32.594,-26.782,56.252,-64.929,-54.124,4
2.858,-62.349,-48.061,-31.537,-46.662,75.523,-13.014,-14.518,-1.207,-0.701,8.226,4.658,-2.201,-17.551,28.55,11.201,-50.971,69.542,0.602,32.71,56.258,-17.185,-17.46,-33.702,-31.537,-25.218,55.684,-65.377,-52.533,4
8.491,-56.651,-53.136,-19.21,-37.394,86.206,-3.267,8.038,15.188,13.644,16.415,14.387,5.999,-16.509,33.645,19.9,-48.871,73.058,1.113,32.165,63.374,-9.483,-12.831,-28.545,-28.944,-18.533,61.776,-63.774,-54.017,4
4.384,-58.644,-64.866,-19.703,-41.968,80.996,5.957,3.419,9.537,11.069,15.886,4.639,0.87,-21.616,26.439,8.097,-54.969,63.764,-5.035,23.423,64.335,-18.183,-18.966,-34.664,-29.427,-26.199,56.591,-71.908,-68.82,4
