Cz,Fz,Fp1,F3,C1,C3,T7,C5,CP5,CP3,CP1,P1,P3,O1,CPz,Pz,Oz,O2,P4,P2,CP2,CP4,CP6,C6,T8,C4,C2,F4,Fp2,Label
11.678,-19.911,-132.518,-3.313,8.502,25.723,664.129,150.307,26.029,22.728,6.816,8.075,-3.541,3.629,-1.835,-1.817,16.458,5.879,6.056,5.353,-109.416,1.427,-13.27,6.757,69.929,-2.811,-3.067,-53.559,-139.444,1
14.74,-12.718,-123.164,-5.872,17.203,42.091,631.189,182.944,34.712,36.537,15.006,13.703,6.709,2.6,8.925,4.845,23.102,10.484,12.198,9.958,-104.184,6.036,-11.72,2.139,76.006,1.29,2.059,-44.796,-130.083,1
4.991,-17.316,-116.893,-18.161,7.452,31.803,663.346,177.638,26.481,27.791,4.233,2.93,-4.056,-10.21,-4.404,-5.918,13.857,4.326,-6.77,-2.347,-117.399,-9.851,-25.54,-5.547,43.655,-9.982,-4.603,-56.022,-126.367,1
-0.649,-28.57,-129.584,-24.803,-6.388,10.767,695.47,145.185,10.573,9.321,-9.604,-5.269,-17.372,-17.372,-20.793,-15.646,5.134,-5.924,-17.009,-10.029,-122.405,-16.502,-33.199,-8.616,26.193,-18.169,-12.796,-71.848,-138.023,1
12.671,-13.684,-128.43,-0.187,6.938,30.736,662.499,163.996,26.956,25.193,5.775,9.08,-3.522,0.576,-4.379,-2.31,14.863,-0.283,5.55,3.813,-105.377,2.47,-15.235,3.176,58.954,-2.781,-2.537,-56.407,-128.151,1
19.831,0.674,-121.129,15.694,23.325,50.173,629.561,196.619,46.397,41.561,19.089,15.731,8.264,7.236,10.995,6.401,18.946,3.816,11.179,12.518,-100.66,6.566,-10.097,4.197,77.851,3.369,3.101,-47.129,-115.728,1
2.905,-21.356,-133.816,-16.597,4.859,18.359,661.719,164.147,21.247,16.417,-2.447,-4.777,-11.212,-17.362,-12.07,-10.511,1.509,-12.582,-15.984,-5.425,-118.491,-18.543,-34.165,-21.935,50.108,-22.762,-13.808,-71.16,-143.277,1
-8.881,-40.29,-143.416,-48.855,-13.077,-6.762,693.845,131.708,-5.414,-4.604,-17.301,-13.481,-25.033,-26.567,-26.402,-20.235,-6.177,-21.279,-22.628,-17.715,-124.52,-26.209,-39.767,-33.696,42.374,-34.522,-22.503,-82.36,-162.089,1
2.399,-21.294,-133.026,-21.142,5.892,19.372,660.876,156.679,15.596,18.454,3.721,5.488,-4.516,-9.634,-3.835,-3.821,11.247,-4.863,-0.576,2.283,-105.44,-3.642,-17.185,-10.096,35.159,-9.385,-5.575,-55.637,-139.385,1
11.618,2.293,-117.524,11.667,24.329,44.456,627.94,189.31,39.147,41.49,21.648,16.241,9.321,-2.452,9.489,8.479,21.482,6.925,9.158,17.137,-93.551,9.17,-7.434,10.407,21.292,10.092,8.263,-28.942,-122.852,1
11.606,5.877,-105.623,11.655,19.694,41.85,660.1,183.998,32.96,38.887,19.577,11.101,4.189,0.624,7.431,8.47,18.899,6.918,9.661,10.973,-93.97,9.161,-8.964,10.909,48.423,11.107,8.767,-21.74,-115.557,1
19.792,8.433,-102.956,9.594,24.797,44.882,692.227,177.666,34.464,40.897,24.68,17.238,12.382,10.87,18.182,16.146,26.053,15.108,21.435,16.597,-83.63,18.373,-2.807,13.971,81.162,16.219,13.369,-19.669,-97.511,1
25.407,9.961,-110.026,14.195,35.531,51.497,659.26,189.784,45.188,48.028,28.754,24.393,17.492,-0.924,20.725,20.741,29.1,18.166,23.463,24.777,-77.399,19.379,-4.341,13.445,88.253,16.203,15.917,-25.797,-102.024,1
